gun,saat,sicaklik,durum
22,8,1.3,Buzlanma Riski
22,9,2.6,Buzlanma Riski
22,10,3.5,Buzlanma Riski
22,11,4.3,Normal
22,12,3.5,Buzlanma Riski
22,13,3.0,Buzlanma Riski
22,14,1.6,Buzlanma Riski
22,15,-1.4,Buzlanma
22,16,-2.1,Buzlanma
22,17,-2.2,Buzlanma
22,18,-2.3,Buzlanma
22,19,-2.3,Buzlanma
22,20,-1.7,Buzlanma
22,21,-2.3,Buzlanma
22,22,-1.9,Buzlanma
22,23,-1.8,Buzlanma
23,0,-4.0,Buzlanma
23,1,-3.5,Buzlanma
23,2,-3.5,Buzlanma
23,3,-4.3,Buzlanma
23,4,-4.9,Buzlanma
23,5,-4.4,Buzlanma
23,6,-1.0,Buzlanma
23,7,1.4,Buzlanma Riski
23,8,3.5,Buzlanma Riski
23,9,5.3,Normal
23,10,6.4,Normal
23,11,7.2,Normal
23,12,7.2,Normal
23,13,5.9,Normal
23,14,4.6,Normal
23,15,-1.3,Buzlanma
23,16,-1.4,Buzlanma
23,17,-1.3,Buzlanma
23,18,-1.4,Buzlanma
23,19,-1.7,Buzlanma
23,20,-2.1,Buzlanma
23,21,-2.3,Buzlanma
23,22,-1.9,Buzlanma
23,23,-1.6,Buzlanma
24,0,-4.1,Buzlanma
24,1,-4.0,Buzlanma
24,2,-3.6,Buzlanma
24,3,-4.7,Buzlanma
24,4,-4.0,Buzlanma
24,5,-3.6,Buzlanma
24,6,0.9,Buzlanma Riski
24,7,3.5,Buzlanma Riski
24,8,5.7,Normal
24,9,7.7,Normal
24,10,8.9,Normal
24,11,9.5,Normal
24,12,8.6,Normal
24,13,7.2,Normal
24,14,2.2,Buzlanma Riski
24,15,0.6,Buzlanma Riski
24,16,-1.4,Buzlanma
24,17,-2.7,Buzlanma
24,18,-3.0,Buzlanma
24,19,-2.8,Buzlanma
24,20,-2.6,Buzlanma
24,21,-2.5,Buzlanma
24,22,-2.4,Buzlanma
24,23,-2.3,Buzlanma
25,0,-3.0,Buzlanma
25,1,-2.8,Buzlanma
25,2,-3.2,Buzlanma
25,3,-3.8,Buzlanma
25,4,-4.0,Buzlanma
25,5,-3.4,Buzlanma
25,6,0.7,Buzlanma Riski
25,7,2.9,Buzlanma Riski
25,8,4.9,Normal
25,9,6.3,Normal
25,10,7.1,Normal
25,11,7.5,Normal
25,12,7.9,Normal
25,13,6.9,Normal
25,14,1.3,Buzlanma Riski
25,15,0.7,Buzlanma Riski
25,16,-0.3,Buzlanma
25,17,-1.3,Buzlanma
25,18,-1.6,Buzlanma
25,19,-1.5,Buzlanma
25,20,-1.3,Buzlanma
25,21,-1.1,Buzlanma
25,22,-1.7,Buzlanma
25,23,-2.5,Buzlanma
26,0,-3.6,Buzlanma
26,1,-4.3,Buzlanma
26,2,-4.6,Buzlanma
26,3,-4.6,Buzlanma
26,4,-4.9,Buzlanma
26,5,-4.6,Buzlanma
26,6,-1.0,Buzlanma
26,7,1.4,Buzlanma Riski
26,8,3.2,Buzlanma Riski
26,9,4.5,Normal
26,10,5.3,Normal
26,11,5.7,Normal
26,12,4.9,Normal
26,13,4.0,Buzlanma Riski
26,14,-0.4,Buzlanma
26,15,-2.2,Buzlanma
26,16,-3.0,Buzlanma
26,17,-3.6,Buzlanma
26,18,-4.0,Buzlanma
26,19,-4.3,Buzlanma
26,20,-4.5,Buzlanma
26,21,-4.6,Buzlanma
26,22,-4.8,Buzlanma
26,23,-5.0,Buzlanma
27,0,-5.2,Buzlanma
27,1,-5.9,Buzlanma
27,2,-6.0,Buzlanma
27,3,-5.9,Buzlanma
27,4,-6.1,Buzlanma
27,5,-5.5,Buzlanma
27,6,-2.9,Buzlanma
27,7,-1.0,Buzlanma
27,8,1.0,Buzlanma Riski
27,9,2.7,Buzlanma Riski
27,10,3.8,Buzlanma Riski
27,11,4.2,Normal
27,12,2.1,Buzlanma Riski
27,13,1.2,Buzlanma Riski
27,14,-1.3,Buzlanma
27,15,-3.6,Buzlanma
27,16,-4.2,Buzlanma
27,17,-4.6,Buzlanma
27,18,-4.7,Buzlanma
27,19,-4.9,Buzlanma
27,20,-5.3,Buzlanma
27,21,-5.3,Buzlanma
27,22,-5.5,Buzlanma
27,23,-5.7,Buzlanma
28,0,-6.5,Buzlanma
28,1,-6.7,Buzlanma
28,2,-6.9,Buzlanma
28,3,-7.2,Buzlanma
28,4,-7.6,Buzlanma
28,5,-7.3,Buzlanma
28,6,-4.1,Buzlanma
28,7,-1.9,Buzlanma
28,8,-0.1,Buzlanma
28,9,1.4,Buzlanma Riski
28,10,2.6,Buzlanma Riski
28,11,3.1,Buzlanma Riski
28,12,1.3,Buzlanma Riski
28,13,0.5,Buzlanma Riski
28,14,-1.3,Buzlanma
28,15,-3.2,Buzlanma
28,16,-4.3,Buzlanma
28,17,-4.5,Buzlanma
28,18,-4.8,Buzlanma
28,19,-5.2,Buzlanma
28,20,-5.6,Buzlanma
28,21,-5.9,Buzlanma
28,22,-6.3,Buzlanma
28,23,-6.6,Buzlanma
29,0,-7.4,Buzlanma
29,1,-7.8,Buzlanma
29,2,-8.4,Buzlanma
29,3,-8.5,Buzlanma
29,4,-8.0,Buzlanma
29,5,-7.0,Buzlanma
29,6,-4.8,Buzlanma
29,7,-2.7,Buzlanma
29,8,-1.1,Buzlanma
29,9,0.2,Buzlanma Riski
29,10,1.1,Buzlanma Riski
29,11,1.5,Buzlanma Riski
29,12,0.3,Buzlanma Riski
29,13,-0.3,Buzlanma
29,14,-2.6,Buzlanma
29,15,-4.5,Buzlanma
29,16,-4.6,Buzlanma
29,17,-5.2,Buzlanma
29,18,-5.5,Buzlanma
29,19,-5.7,Buzlanma
29,20,-6.0,Buzlanma
29,21,-6.4,Buzlanma
29,22,-6.8,Buzlanma
29,23,-7.4,Buzlanma
30,0,-9.2,Buzlanma
30,1,-9.3,Buzlanma
30,2,-9.4,Buzlanma
30,3,-9.5,Buzlanma
30,4,-9.6,Buzlanma
30,5,-9.0,Buzlanma
30,6,-5.9,Buzlanma
30,7,-3.5,Buzlanma
30,8,-1.5,Buzlanma
30,9,0.1,Buzlanma Riski
30,10,1.1,Buzlanma Riski
30,11,1.7,Buzlanma Riski
30,12,0.9,Buzlanma Riski
30,13,0.2,Buzlanma Riski
30,14,-2.5,Buzlanma
30,15,-5.9,Buzlanma
30,16,-5.3,Buzlanma
30,17,-5.9,Buzlanma
30,18,-6.4,Buzlanma
30,19,-6.5,Buzlanma
30,20,-6.7,Buzlanma
30,21,-6.9,Buzlanma
30,22,-7.1,Buzlanma
30,23,-7.3,Buzlanma
31,0,-9.2,Buzlanma
31,1,-9.3,Buzlanma
31,2,-9.0,Buzlanma
31,3,-8.7,Buzlanma
31,4,-8.6,Buzlanma
31,5,-8.7,Buzlanma
